plant_family	bee_species	plant_identification	layer	weight
Dipterocarpaceae	Homotrigona_canifrons	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_melanocephala	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_geissleri	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_laeviceps	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_collina	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_fimbriata	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_binghami	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_binghami	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_fimbriata	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_collina	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_melanocephala	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_geissleri	chemical	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_laeviceps	chemical	Indo-Malayan-Australasia	1
Myrtaceae	Tetragonula_carbonaria	chemical	Indo-Malayan-Australasia	1
Euphorbiaceae	Tetragonisca_angustula	field_work	Neotropics	1
Clusiaceae	Tetragonisca_angustula	field_work	Neotropics	1
Clusiaceae	Trigona_spinipes	field_work	Neotropics	1
Myrtaceae	Trigona_spinipes	field_work	Neotropics	1
Clusiaceae	Plebeia_lucii	field_work	Neotropics	1
Euphorbiaceae	Plebeia_emerina	field_work	Neotropics	1
Myrtaceae	Tetragonula_sapiens	field_work	Indo-Malayan-Australasia	1
Myrtaceae	Tetragonula_hockingsi	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_laeviceps	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_geissleri	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_binghami	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_melanocephala	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_binghami	field_work	Indo-Malayan-Australasia	1
Myristicaceae	Tetragonula_laeviceps	field_work	Indo-Malayan-Australasia	1
Myristicaceae	Tetragonula_geissleri	field_work	Indo-Malayan-Australasia	1
Myristicaceae	Tetragonula_melanocephala	field_work	Indo-Malayan-Australasia	1
Myristicaceae	Tetragonula_melina	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_fimbriata	field_work	Indo-Malayan-Australasia	1
Araucariaceae	Geniotrigona_thoracica	field_work	Indo-Malayan-Australasia	1
Araucariaceae	Homotrigona_canifrons	field_work	Indo-Malayan-Australasia	1
Araucariaceae	Heterotrigona_erythrogastra	field_work	Indo-Malayan-Australasia	1
Araucariaceae	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Araucariaceae	Homotrigona_haematoptera	field_work	Indo-Malayan-Australasia	1
Burseraceae	Homotrigona_canifrons	field_work	Indo-Malayan-Australasia	1
Burseraceae	Tetragonula_laeviceps	field_work	Indo-Malayan-Australasia	1
Burseraceae	Tetragonula_geissleri	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_laeviceps	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_geissleri	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Heterotrigona_erythrogastra	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_haematoptera	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_canifrons	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_haematoptera	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Homotrigona_binghami	field_work	Indo-Malayan-Australasia	1
Dipterocarpaceae	Tetragonula_collina	field_work	Indo-Malayan-Australasia	1
Myrtaceae	Trigona_spinipes	field_work	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	field_work	Neotropics	1
Anacardiaceae	Plebeia_remota	field_work	Neotropics	1
Araucariaceae	Plebeia_remota	field_work	Neotropics	1
Anacardiaceae	Plebeia_droryana	field_work	Neotropics	1
Araucariaceae	Plebeia_droryana	field_work	Neotropics	1
Araucariaceae	Scaptotrigona_bipunctata	field_work	Neotropics	1
Araucariaceae	Tetragona_clavipes	field_work	Neotropics	1
Anacardiaceae	Melipona_scutellaris	field_work	Neotropics	1
Anacardiaceae	Melipona_quadrifasciata	field_work	Neotropics	1
Anacardiaceae	Tetragonisca_angustula	field_work	Neotropics	1
Fabaceae	Melipona_seminigra_merrillae	field_work	Neotropics	1
Fabaceae	Melipona_compressipes	field_work	Neotropics	1
Fabaceae	Melipona_compressipes	field_work	Neotropics	1
Fabaceae	Melipona_favosa	field_work	Neotropics	1
Podocarpaceae	Frieseomelitta_silvestrii	chemical	Neotropics	1
Myrtaceae	Melipona_marginata	chemical	Neotropics	1
Myrtaceae	Melipona_scutellaris	chemical	Neotropics	1
Myrtaceae	Melipona_quadrifasciata	chemical	Neotropics	1
Myrtaceae	Plebeia_remota	chemical	Neotropics	1
Clusiaceae	Paratrigona_anduzei	chemical	Neotropics	1
Myrtaceae	Tetragonula_carbonaria	field_work	Indo-Malayan-Australasia	1
Clusiaceae	Frieseomelitta_varia	chemical	Neotropics	1
Clusiaceae	Melipona_favosa	chemical	Neotropics	1
Clusiaceae	Melipona_compressipes	chemical	Neotropics	1
Clusiaceae	Scaptotrigona_depilis	chemical	Neotropics	1
Clusiaceae	Frieseomelitta_varia	chemical	Neotropics	1
Clusiaceae	Melipona_favosa	chemical	Neotropics	1
Clusiaceae	Melipona_compressipes	chemical	Neotropics	1
Clusiaceae	Scaptotrigona_depilis	chemical	Neotropics	1
